,I_t
0,300811.0
1,294342.2025444834
2,287056.32382035017
3,279047.45137112774
4,270413.9493385184
5,261256.17619546145
6,251674.35077117605
7,241766.62792814526
8,231627.4281408079
9,221346.0480683322
10,211005.5631594669
11,200682.01923521442
12,190443.89841278896
13,180351.8359147427
14,170458.5582499887
15,160809.00976235783
16,151440.6332865924
17,142383.77122488574
18,133662.15532737612
19,125293.45640923822
20,117289.86878798649
21,109658.70805733994
22,102403.0046727338
23,95522.07951663813
24,89012.09100666991
25,82866.54632457449
26,77076.77193979279
27,71632.34077010486
28,66521.45507979409
29,61731.28559471193
30,57248.268354736916
31,53058.36157300777
32,49147.265274248464
33,45500.606785855314
34,42104.09529595877
35,38943.64870864221
36,36005.49594920556
37,33276.25772816966
38,30743.008583318864
39,28393.322801897557
40,26215.306593777794
41,24197.61865142808
42,22329.48100155421
43,20600.68183183486
44,19001.57176792345
45,17523.054883103243
46,16156.575546841428
47,14894.102059345592
48,13728.107876837732
49,12651.551105962546
50,11657.852834593075
51,10740.8747691733
52,9894.896564442199
53,9114.593158689544
54,8395.012365391774
55,7731.552919007016
56,7119.943127781995
57,6556.2202486310225
58,6036.71066756707
59,5558.010942963908
60,5116.9697473601445
61,4710.6707259176765
62,4336.416275433145
63,3991.71223645819
64,3674.2534821647673
65,3381.9103807068705
66,3112.716102644122
67,2864.8547412171524
68,2636.6502106524326
69,2426.5558860145525
70,2233.144947237927
71,2055.1013897063185
72,1891.2116639799333
73,1740.3569078894325
74,1601.5057351347632
75,1473.7075456703064
76,1356.0863244652346
77,1247.8348966489802
78,1148.2096085453804
79,1056.5254056322303
80,972.1512800090846
81,894.5060614941068
82,823.0545279841244
83,757.3038121881111
84,696.8000832736057
85,641.1254833411538
86,589.895299958958
87,542.7553572454676
88,499.379609179982
89,459.46791994991986
90,422.7440172085538
91,388.95360511974974
92,357.86262500811563
93,329.25565231591264
94,302.93441939431585
95,278.7164544285761
96,256.4338275168611
97,235.9319955936649
98,217.06873851330846
99,199.7131791898232
100,183.7448812290058
101,169.05301798915482
102,155.53560747139105
103,143.0988078708582
104,131.65626901873623
105,121.12853531401348
106,111.44249608537433
107,102.53087963928631
108,94.33178754221728
109,86.7882659545817
110,79.84791108309962
111,73.46250604824883
112,67.58768667579895
113,62.18263391734199
114,57.209790785496196
115,52.6346018561938
116,48.425273544225014
117,44.55255349998195
118,40.989527606039076
119,37.71143317266743
120,34.69548704239276
121,31.920727415999842
122,29.367868306629916
123,27.019165615438656
124,24.85829390225428
125,22.87023299833303
126,21.04116367614424
127,19.35837165358524
128,17.810159267547228
129,16.385764204715652
130,15.07528472625017
131,13.869610867880999
132,12.760361138285024
133,11.73982427664769
134,10.800905665334954
135,9.937078025832463
136,9.142336055776976
137,8.411154692211113
138,7.738450711324062
139,7.119547398070194
140,6.550142040343756
141,6.026276021977157
142,5.544307306857858
143,5.100885123048478
144,4.692926671061036
145,4.317595694484426
146,3.972282764091319
147,3.6545871384459283
148,3.362300074979798
149,3.0933894755744373
150,2.845985759957136
151,2.618368868743617
152,2.4089563058074015
153,2.216292136875253
154,2.039036867890745
155,1.875958132799999
156,1.72592212603725
157,1.5878857201621293
158,1.460889213861309
159,1.344049659907408
160,1.2365547266982428
161,1.137657050707555
162,1.0466690405899988
163,0.9629580968221199
164,0.8859422136490643
165,0.8150859327639011
166,0.7498966205911469
167,0.6899210432953515
168,0.6347422157050259
169,0.5839765022461736
170,0.5372709497314276
171,0.49430083346247106
172,0.45476739958623275
173,0.41839578800959354
174,0.38493312143249486
175,0.35414674721413436
176,0.32582261984938143
177,0.29976381281003694
178,0.27578914940488325
179,0.2537319431398797
180,0.23343883882109834
181,0.2147687463433595
182,0.19759185975188467
183,0.1817887547571108
184,0.16724955842822817
185,0.1538731852928047
186,0.14156663453152873
187,0.13024434338185226
188,0.11982759225509583
189,0.11024395743110547
190,0.10142680752532657
191,0.0933148402274818
192,0.0858516560910236
193,0.07898536641012356
194,0.07266823245795197
195,0.06685633357803858
196,0.061509261821104694
197,0.05658984100431372
198,0.0520638682396834
199,0.047899876134619795
