,beta,gamma,sse
0,0.02,0.01,599512348.1898817
1,0.03,0.01,727337479.9220668
2,0.03,0.02,601275219.2965237
3,0.04,0.01,1219173027.873397
4,0.04,0.02,716789214.4631197
5,0.04,0.03,603473260.475423
6,0.05,0.01,2111324127.9035506
7,0.05,0.02,1194995302.5732787
8,0.05,0.03,706687923.3231784
9,0.05,0.04,606108339.2257279
10,0.060000000000000005,0.01,3443084140.878396
11,0.060000000000000005,0.02,2072080770.4928536
12,0.060000000000000005,0.03,1171276155.729064
13,0.060000000000000005,0.04,697035799.4872001
14,0.060000000000000005,0.05,609182305.7286482
15,0.07,0.01,5256967502.216269
16,0.07,0.02,3387210943.8401155
17,0.07,0.03,2033307315.9448397
18,0.07,0.04,1148018144.5043561
19,0.07,0.05,687835016.9049298
20,0.07,0.060000000000000005,612696992.7802631
21,0.08,0.01,7598960289.9275675
22,0.08,0.02,5182761152.6563015
23,0.08,0.03,3331818604.6959114
24,0.08,0.04,1995006728.4956088
25,0.08,0.05,1125223805.1374702
26,0.08,0.060000000000000005,679087730.4119915
27,0.08,0.07,616654215.7258692
28,0.09,0.01,10518789833.871994
29,0.09,0.02,7504566337.63487
30,0.09,0.03,5109046145.994714
31,0.09,0.04,3276910542.2936134
32,0.09,0.05,1957181949.3750837
33,0.09,0.060000000000000005,1102895652.849231
34,0.09,0.07,670796075.6527712
35,0.09,0.08,621055772.3958974
36,0.09999999999999999,0.01,14070214785.049858
37,0.09999999999999999,0.02,10402189612.63283
38,0.09999999999999999,0.03,7410673630.498104
39,0.09999999999999999,0.04,5035826408.366526
40,0.09999999999999999,0.05,3222490150.183067
41,0.09999999999999999,0.060000000000000005,1919835896.6996827
42,0.09999999999999999,0.07,1081036181.7527552
43,0.09999999999999999,0.08,662962169.0050212
44,0.09999999999999999,0.09,625903443.0433683
45,0.10999999999999999,0.01,18311337166.489487
46,0.10999999999999999,0.02,13929211194.640137
47,0.10999999999999999,0.03,10286099830.127134
48,0.10999999999999999,0.04,7317286660.294124
49,0.10999999999999999,0.05,4963105838.084029
50,0.10999999999999999,0.060000000000000005,3168560796.491713
51,0.10999999999999999,0.07,1882971465.3672006
52,0.10999999999999999,0.08,1059647864.765224
53,0.10999999999999999,0.09,655588107.5062307
54,0.10999999999999999,0.09999999999999999,631198990.2829024
55,0.11999999999999998,0.01,23304938037.114388
56,0.11999999999999998,0.02,18143539214.43173
57,0.11999999999999998,0.03,13788726387.479847
58,0.11999999999999998,0.04,10170525608.407116
59,0.11999999999999998,0.05,7224409888.194477
60,0.11999999999999998,0.060000000000000005,4890888305.492764
61,0.11999999999999998,0.07,3115125823.8025637
62,0.11999999999999998,0.08,1846591526.953987
63,0.11999999999999998,0.09,1038733153.5216057
64,0.11999999999999998,0.09999999999999999,648675968.7817463
65,0.11999999999999998,0.10999999999999999,636944159.0312773
66,0.12999999999999998,0.01,29118838517.310883
67,0.12999999999999998,0.02,23107744030.18416
68,0.12999999999999998,0.03,17976267384.91916
69,0.12999999999999998,0.04,13648766187.471937
70,0.12999999999999998,0.05,10055472035.851992
71,0.12999999999999998,0.060000000000000005,7132047744.599351
72,0.12999999999999998,0.07,4819177652.830413
73,0.12999999999999998,0.08,3062188549.0347385
74,0.12999999999999998,0.09,1810698929.6142883
75,0.12999999999999998,0.09999999999999999,1018294478.2903616
76,0.12999999999999998,0.10999999999999999,642227810.9746228
77,0.12999999999999998,0.11999999999999998,643140676.4495356
78,0.13999999999999999,0.01,35826288050.232544
79,0.13999999999999999,0.02,28889417782.845615
80,0.13999999999999999,0.03,22911082306.51332
81,0.13999999999999999,0.04,17809528282.9558
82,0.13999999999999999,0.05,13509336381.462984
83,0.13999999999999999,0.060000000000000005,9940944166.976719
84,0.13999999999999999,0.07,7040204628.974585
85,0.13999999999999999,0.08,4747977694.088355
86,0.13999999999999999,0.09,3009752263.326482
87,0.13999999999999999,0.09999999999999999,1775296497.9818075
88,0.13999999999999999,0.10999999999999999,998334247.8911147
89,0.13999999999999999,0.11999999999999998,636245672.6772335
90,0.13999999999999999,0.12999999999999998,649790251.8866167
91,0.15,0.01,43506381906.659225
92,0.15,0.02,35561561056.45183
93,0.15,0.03,28660534121.679047
94,0.15,0.04,22714960339.941597
95,0.15,0.05,17643328472.756073
96,0.15,0.060000000000000005,13370442719.023567
97,0.15,0.07,9826947022.244637
98,0.15,0.08,6948884909.691996
99,0.15,0.09,4677292214.87625
100,0.15,0.09999999999999999,2957820231.920695
101,0.15,0.10999999999999999,1740387033.073556
102,0.15,0.11999999999999998,978854849.6142942
103,0.15,0.12999999999999998,630731572.8646021
104,0.15,0.13999999999999999,656894576.8245554
105,0.16,0.01,52244510083.978264
106,0.16,0.02,43202998639.37012
107,0.16,0.03,35297374342.87529
108,0.16,0.04,28432195973.601692
109,0.16,0.05,22519385559.398964
110,0.16,0.060000000000000005,17477674477.49353
111,0.16,0.07,13232090912.233006
112,0.16,0.08,9713485587.883286
113,0.16,0.09,6858092923.872843
114,0.16,0.09999999999999999,4607124972.28932
115,0.16,0.10999999999999999,2906395694.052999
116,0.16,0.11999999999999998,1705973312.195821
117,0.16,0.12999999999999998,959858649.1427313
118,0.16,0.13999999999999999,625687510.8294898
119,0.16,0.15,664455324.8251895
120,0.17,0.01,62132839902.11079
121,0.17,0.02,51898826524.11989
122,0.17,0.03,42900157041.48972
123,0.17,0.04,35033737422.729095
124,0.17,0.05,28204411728.944504
125,0.17,0.060000000000000005,22324365348.61785
126,0.17,0.07,17312572779.0536
127,0.17,0.08,13094286635.467747
128,0.17,0.09,9600564815.704262
129,0.17,0.09999999999999999,6767832977.234437
130,0.17,0.10999999999999999,4537479694.778484
131,0.17,0.11999999999999998,2855481862.8422527
132,0.17,0.12999999999999998,1672058088.8524463
133,0.17,0.13999999999999999,941347990.4752111
134,0.17,0.15,621115466.1192046
135,0.17,0.16,672474151.4784142
136,0.18000000000000002,0.01,73270834761.50603
137,0.18000000000000002,0.02,61740892434.48596
138,0.18000000000000002,0.03,51553683946.643234
139,0.18000000000000002,0.04,42597867818.62784
140,0.18000000000000002,0.05,34770659754.75363
141,0.18000000000000002,0.060000000000000005,27977189728.25026
142,0.18000000000000002,0.07,22129907045.850235
143,0.18000000000000002,0.08,17148029817.79132
144,0.18000000000000002,0.09,12957035525.194172
145,0.18000000000000002,0.09999999999999999,9488189622.926285
146,0.18000000000000002,0.10999999999999999,6678109343.940092
147,0.18000000000000002,0.11999999999999998,4468360082.023376
148,0.18000000000000002,0.12999999999999998,2805081925.183579
149,0.18000000000000002,0.13999999999999999,1638644092.65523
150,0.18000000000000002,0.15,923325195.852002
151,0.18000000000000002,0.16,617017398.474146
152,0.18000000000000002,0.17,680952694.3519748
153,0.19000000000000003,0.01,85765811701.2612
154,0.19000000000000003,0.02,72828312329.65237
155,0.19000000000000003,0.03,61349482901.52495
156,0.19000000000000003,0.04,51209094381.16339
157,0.19000000000000003,0.05,42296141616.35421
158,0.19000000000000003,0.060000000000000005,34508150742.8286
