,date,I,I_t
0,2020-01-22,0,0.0
1,2020-01-23,0,0.0
2,2020-01-24,0,0.0
3,2020-01-25,0,0.0
4,2020-01-26,0,0.0
5,2020-01-27,1,1.0
6,2020-01-28,4,4.0
7,2020-01-29,4,0.0
8,2020-01-30,4,0.0
9,2020-01-31,5,0.0
10,2020-02-01,8,0.0
11,2020-02-02,10,0.0
12,2020-02-03,12,18.905647760926627
13,2020-02-04,12,12.25934983542692
14,2020-02-05,12,18.657890359967137
15,2020-02-06,12,23.01728539501725
16,2020-02-07,13,21.745676772837214
17,2020-02-08,13,16.10995445259957
18,2020-02-09,14,15.219551235566588
19,2020-02-10,14,12.870097895562049
20,2020-02-11,16,13.80328511812898
21,2020-02-12,16,14.804136009017965
22,2020-02-13,15,17.028809005345966
23,2020-02-14,15,17.20068633554647
24,2020-02-15,15,17.20068633554647
25,2020-02-16,15,16.1038325472792
26,2020-02-17,15,16.103745902911385
27,2020-02-18,4,13.90973157488157
28,2020-02-19,4,13.90973157488157
29,2020-02-20,4,9.189355984312648
30,2020-02-21,2,5.249074727529313
31,2020-02-22,2,2.9984427673765603
32,2020-02-23,2,1.0498883571403226
33,2020-02-24,2,0.0807822967380531
34,2020-02-25,3,1.5012470173321038
35,2020-02-26,12,1.057926939091754
36,2020-02-27,30,1.1346306255168614
37,2020-02-28,32,15.226732722936791
38,2020-02-29,63,76.07377331746244
39,2020-03-01,114,115.67358610653162
40,2020-03-02,143,267.10419124540465
41,2020-03-03,180,529.3078471845787
42,2020-03-04,246,425.6290301193177
43,2020-03-05,466,399.7625478350788
44,2020-03-06,653,604.959565261821
45,2020-03-07,781,965.5440572808128
46,2020-03-08,1022,1231.4947048505014
47,2020-03-09,1156,1656.5460160237008
48,2020-03-10,1437,2236.198775694905
49,2020-03-11,1880,2477.376904124269
50,2020-03-12,2050,2330.5633288005583
51,2020-03-13,3622,2838.901170635138
52,2020-03-14,4530,3166.9618357660597
53,2020-03-15,5738,5112.442676952013
54,2020-03-16,7188,7650.83850987257
55,2020-03-17,9166,10190.545801391843
56,2020-03-18,12194,12441.889728294096
57,2020-03-19,15163,17923.808511025563
58,2020-03-20,19601,19388.65180666109
59,2020-03-21,21896,24298.830310156853
60,2020-03-22,24513,32895.175045017815
61,2020-03-23,28667,35945.6927942844
62,2020-03-24,29586,39650.449506934216
63,2020-03-25,33570,42703.94151190933
64,2020-03-26,37998,42998.356336620425
65,2020-03-27,43871,41950.35636939423
66,2020-03-28,48781,46829.56980514149
67,2020-03-29,52351,52921.76559208987
68,2020-03-30,52740,57705.14250098005
69,2020-03-31,54933,67664.38208649846
70,2020-04-01,58252,67567.97116548468
71,2020-04-02,61247,70121.82431829396
72,2020-04-03,65309,65695.6395576435
73,2020-04-04,68248,67811.6806057238
74,2020-04-05,69839,69246.23020137835
75,2020-04-06,72864,74811.79014947647
76,2020-04-07,69566,77920.46891802995
77,2020-04-08,64647,80598.97814997286
78,2020-04-09,63167,78931.3121177097
79,2020-04-10,65491,73110.28634829722
80,2020-04-11,64772,63628.8045082428
81,2020-04-12,64532,60709.94042887458
82,2020-04-13,62578,58767.203612330224
