,date,I,R,D,C,I_p,C_p
0,2020-01-22,0,0,0,0,0.0,0.0
1,2020-01-23,0,0,0,0,0.0,0.0
2,2020-01-24,0,0,0,0,0.0,0.0
3,2020-01-25,0,0,0,0,0.0,0.0
4,2020-01-26,0,0,0,0,0.0,0.0
5,2020-01-27,1,0,0,1,1.0,1.0
6,2020-01-28,4,0,0,4,0.0,4.0
7,2020-01-29,4,0,0,4,0.0,4.0
8,2020-01-30,4,0,0,4,0.0,4.0
9,2020-01-31,5,0,0,5,0.0,5.0
10,2020-02-01,8,0,0,8,0.0,8.0
11,2020-02-02,10,0,0,10,13.190338761936378,10.0
12,2020-02-03,12,0,0,12,8.725873973937155,12.0
13,2020-02-04,12,0,0,12,14.973362023883617,12.0
14,2020-02-05,12,0,0,12,22.78749236966484,12.0
15,2020-02-06,12,0,0,12,22.40750641778209,12.0
16,2020-02-07,13,0,0,13,16.435401672692652,13.0
17,2020-02-08,13,0,0,13,14.333248843182254,13.0
18,2020-02-09,14,0,0,14,12.74203832367723,14.0
19,2020-02-10,14,0,0,14,13.529914623520623,14.0
20,2020-02-11,16,0,0,16,14.366607777867404,16.0
21,2020-02-12,16,0,0,16,15.254988958290465,16.0
22,2020-02-13,15,1,0,16,16.526237968632287,16.0
23,2020-02-14,15,1,0,16,18.63320603499318,16.0
24,2020-02-15,15,1,0,16,16.760973201549113,16.0
25,2020-02-16,15,1,0,16,16.760973201549113,16.0
26,2020-02-17,15,1,0,16,14.190726820769903,16.0
27,2020-02-18,4,12,0,16,14.190666485353482,16.0
28,2020-02-19,4,12,0,16,14.126467835793742,16.0
29,2020-02-20,4,12,0,16,7.752753090603746,16.0
30,2020-02-21,2,14,0,16,4.007144835852833,16.0
31,2020-02-22,2,14,0,16,1.6299043940241598,16.0
32,2020-02-23,2,14,0,16,0.1431014819513357,16.0
33,2020-02-24,2,14,0,16,1.7268447796366608,16.0
34,2020-02-25,3,14,0,17,1.134643705516346,17.0
35,2020-02-26,12,15,0,27,0.791665925475214,27.0
36,2020-02-27,30,16,0,46,2.866658483899169,46.0
37,2020-02-28,32,16,0,48,20.7556828238074,48.0
38,2020-02-29,63,16,0,79,104.53429921960772,79.0
39,2020-03-01,114,16,0,130,158.77173167317304,130.0
40,2020-03-02,143,16,0,159,302.3039015655422,159.0
41,2020-03-03,180,16,0,196,344.87060919839826,196.0
42,2020-03-04,246,16,0,262,330.5671267995307,262.0
43,2020-03-05,466,16,0,482,475.83738404796713,482.0
44,2020-03-06,653,17,0,670,514.3489262387068,670.0
45,2020-03-07,781,18,0,799,825.5420811098948,799.0
46,2020-03-08,1022,18,0,1040,1397.5391459146558,1040.0
47,2020-03-09,1156,18,2,1176,1759.10095241586,1176.0
48,2020-03-10,1437,18,2,1457,2264.095596198439,1457.0
49,2020-03-11,1880,25,3,1908,1966.3774629259,1908.0
50,2020-03-12,2050,25,3,2078,2167.4345603798065,2078.0
51,2020-03-13,3622,46,7,3675,2753.2359421919427,3675.0
52,2020-03-14,4530,46,9,4585,3009.359269914422,4585.0
53,2020-03-15,5738,46,11,5795,5500.6261309135725,5795.0
54,2020-03-16,7188,67,17,7272,8180.685613132454,7272.0
55,2020-03-17,9166,67,24,9257,10085.495813439027,9257.0
56,2020-03-18,12194,105,28,12327,14829.152331444348,12327.0
57,2020-03-19,15163,113,44,15320,14394.702575806452,15320.0
58,2020-03-20,19601,180,67,19848,19115.52921314296,19848.0
59,2020-03-21,21896,233,84,22213,24211.79358024352,22213.0
60,2020-03-22,24513,266,94,24873,32202.7271824718,24873.0
61,2020-03-23,28667,266,123,29056,36290.36433103036,29056.0
62,2020-03-24,29586,3243,157,32986,37944.340907448815,32986.0
63,2020-03-25,33570,3547,206,37323,39588.20848954077,37323.0
64,2020-03-26,37998,5673,267,43938,37746.97004104467,43938.0
65,2020-03-27,43871,6658,342,50871,42049.88399632707,50871.0
66,2020-03-28,48781,8481,433,57695,47033.866692248725,57695.0
67,2020-03-29,52351,9211,533,62095,52204.492409267215,62095.0
68,2020-03-30,52740,13500,645,66885,63858.72574000421,66885.0
69,2020-03-31,54933,16100,775,71808,68155.89075527615,71808.0
70,2020-04-01,58252,18700,920,77872,68338.697485415,77872.0
71,2020-04-02,61247,22440,1107,84794,62862.1857084314,84794.0
72,2020-04-03,65309,24575,1275,91159,61998.18058563669,91159.0
73,2020-04-04,68248,26400,1444,96092,65467.00371577415,96092.0
74,2020-04-05,69839,28700,1584,100123,71167.8374293922,100123.0
75,2020-04-06,72864,28700,1810,103374,77314.9321604411,103374.0
76,2020-04-07,69566,36081,2016,107663,77565.79555766158,107663.0
77,2020-04-08,64647,46300,2349,113296,81011.27814156574,113296.0
78,2020-04-09,63167,52407,2607,118181,76556.98071573184,118181.0
79,2020-04-10,65491,53913,2767,122171,70928.08366192681,122171.0
80,2020-04-11,64772,57400,2736,124908,61414.72693448513,124908.0
81,2020-04-12,64532,60300,3022,127854,57312.55737953493,127854.0
82,2020-04-13,62578,64300,3194,130072,60419.218863503615,130072.0
83,2020-04-14,59865,68200,3294,131359,67159.70521229829,131359.0
84,2020-04-15,58349,72600,3804,134753,65621.41504936932,134753.0
85,2020-04-16,56646,77000,4052,137698,58080.20925099959,137698.0
86,2020-04-17,53931,83114,4352,141397,56243.081432668085,141397.0
87,2020-04-18,53483,85400,4459,143342,52794.94176531048,143342.0
88,2020-04-19,52598,88000,4586,145184,51207.76115484306,145184.0
89,2020-04-20,50703,91500,4862,147065,49998.757142160095,147065.0
90,2020-04-21,48058,95200,5033,148291,48732.50619677874,148291.0
91,2020-04-22,45969,99400,5279,150648,47310.08681387844,150648.0
92,2020-04-23,44254,103300,5575,153129,46879.57915883321,153129.0
93,2020-04-24,39439,109800,5760,154999,43803.27902207597,154999.0
94,2020-04-25,40836,109800,5877,156513,40591.46983600168,156513.0
95,2020-04-26,39794,112000,5976,157770,36875.82777767432,157770.0
96,2020-04-27,38132,114500,6126,158758,35598.51902552373,158758.0
97,2020-04-28,36198,117400,6314,159912,35647.72511458155,159912.0
98,2020-04-29,34672,120400,6467,161539,34800.00448604879,161539.0
99,2020-04-30,32886,123500,6623,163009,36458.48605517928,163009.0
100,2020-05-01,30441,126900,6736,164077,32119.20842519453,164077.0
101,2020-05-02,29155,129000,6812,164967,29476.86019824917,164967.0
102,2020-05-03,28198,130600,6866,165664,27773.58454816534,165664.0
103,2020-05-04,26459,132700,6993,166152,26372.016637683177,166152.0
104,2020-05-05,24914,135100,6993,167007,25264.3753803438,167007.0
105,2020-05-06,20987,139900,7275,168162,23968.22249387857,168162.0
106,2020-05-07,20338,141700,7392,169430,22548.667262693485,169430.0
107,2020-05-08,21378,141700,7510,170588,20028.273511351235,170588.0
108,2020-05-09,20475,143300,7549,171324,17192.567013200176,171324.0
109,2020-05-10,19910,144400,7569,171879,17129.17103605388,171879.0
110,2020-05-11,19298,145617,7661,172576,17243.65014873998,172576.0
111,2020-05-12,18233,147200,7738,173171,19762.502870863496,173171.0
112,2020-05-13,17537,148700,7861,174098,19151.3534194482,174098.0
113,2020-05-14,16294,150300,7884,174478,16814.5392354361,174478.0
114,2020-05-15,15739,151597,7897,175233,16104.290553665998,175233.0
115,2020-05-16,15214,152600,7938,175752,15430.498551230425,175752.0
116,2020-05-17,14396,154011,7962,176369,14089.7821032608,176369.0
117,2020-05-18,13507,155041,8003,176551,13505.717348223105,176551.0
118,2020-05-19,14016,155681,8081,177778,12960.463029628558,177778.0
119,2020-05-20,13363,156966,8144,178473,12634.284850574186,178473.0
120,2020-05-21,12731,158087,8203,179021,12379.23321261252,179021.0
121,2020-05-22,12418,159064,8228,179710,12524.793350236325,179710.0
122,2020-05-23,12009,159716,8261,179986,12023.081392776436,179986.0
123,2020-05-24,11764,160281,8283,180328,11978.17017100653,180328.0
124,2020-05-25,11092,161199,8309,180600,10968.032823995436,180600.0
125,2020-05-26,10861,161967,8372,181200,11002.86624592595,181200.0
126,2020-05-27,10276,162820,8428,181524,10575.464082842704,181524.0
127,2020-05-28,10366,163360,8470,182196,10225.760333537371,182196.0
128,2020-05-29,10173,164245,8504,182922,9445.438126760542,182922.0
129,2020-05-30,9751,164908,8530,183189,9252.73619303726,183189.0
130,2020-05-31,9518,165352,8540,183410,9698.483568661077,183410.0
131,2020-06-01,9407,165632,8555,183594,9496.574693258555,183594.0
