,date,I,R,D,C,I_p,C_p
0,2020-01-22,0,0,0,0,0.0,0
1,2020-01-23,0,0,0,0,0.0,0
2,2020-01-24,0,0,0,0,0.0,0
3,2020-01-25,0,0,0,0,0.0,0
4,2020-01-26,0,0,0,0,0.0,0
5,2020-01-27,1,0,0,1,1.0,1
6,2020-01-28,4,0,0,4,4.0,4
7,2020-01-29,4,0,0,4,0.0,4
8,2020-01-30,4,0,0,4,0.0,4
9,2020-01-31,5,0,0,5,0.0,5
10,2020-02-01,8,0,0,8,0.0,8
11,2020-02-02,10,0,0,10,0.0,10
12,2020-02-03,12,0,0,12,18.905647760926627,12
13,2020-02-04,12,0,0,12,12.25934983542692,12
14,2020-02-05,12,0,0,12,18.657890359967137,12
15,2020-02-06,12,0,0,12,23.01728539501725,12
16,2020-02-07,13,0,0,13,21.745676772837214,13
17,2020-02-08,13,0,0,13,16.10995445259957,13
18,2020-02-09,14,0,0,14,15.219551235566588,14
19,2020-02-10,14,0,0,14,12.870097895562049,14
20,2020-02-11,16,0,0,16,13.80328511812898,16
21,2020-02-12,16,0,0,16,14.804136009017965,16
22,2020-02-13,15,1,0,16,17.028809005345966,16
23,2020-02-14,15,1,0,16,17.20068633554647,16
24,2020-02-15,15,1,0,16,17.20068633554647,16
25,2020-02-16,15,1,0,16,16.1038325472792,16
26,2020-02-17,15,1,0,16,16.103745902911385,16
27,2020-02-18,4,12,0,16,13.90973157488157,16
28,2020-02-19,4,12,0,16,13.90973157488157,16
29,2020-02-20,4,12,0,16,9.189355984312648,16
30,2020-02-21,2,14,0,16,5.249074727529313,16
31,2020-02-22,2,14,0,16,2.9984427673765603,16
32,2020-02-23,2,14,0,16,1.0498883571403226,16
33,2020-02-24,2,14,0,16,0.0807822967380531,16
34,2020-02-25,3,14,0,17,1.5012470173321038,17
35,2020-02-26,12,15,0,27,1.057926939091754,27
36,2020-02-27,30,16,0,46,1.1346306255168614,46
37,2020-02-28,32,16,0,48,15.226732722936791,48
38,2020-02-29,63,16,0,79,76.07377331746244,79
39,2020-03-01,114,16,0,130,115.67358610653162,130
40,2020-03-02,143,16,0,159,267.10419124540465,159
41,2020-03-03,180,16,0,196,529.3078471845787,196
42,2020-03-04,246,16,0,262,425.6290301193177,262
43,2020-03-05,466,16,0,482,399.7625478350788,482
44,2020-03-06,653,17,0,670,604.959565261821,670
45,2020-03-07,781,18,0,799,965.5440572808128,799
46,2020-03-08,1022,18,0,1040,1231.4947048505014,1040
47,2020-03-09,1156,18,2,1176,1656.5460160237008,1176
48,2020-03-10,1437,18,2,1457,2236.198775694905,1457
49,2020-03-11,1880,25,3,1908,2477.376904124269,1908
50,2020-03-12,2050,25,3,2078,2330.5633288005583,2078
51,2020-03-13,3622,46,7,3675,2838.901170635138,3675
52,2020-03-14,4530,46,9,4585,3166.9618357660597,4585
53,2020-03-15,5738,46,11,5795,5112.442676952013,5795
54,2020-03-16,7188,67,17,7272,7650.83850987257,7272
55,2020-03-17,9166,67,24,9257,10190.545801391843,9257
56,2020-03-18,12194,105,28,12327,12441.889728294096,12327
57,2020-03-19,15163,113,44,15320,17923.808511025563,15320
58,2020-03-20,19601,180,67,19848,19388.65180666109,19848
59,2020-03-21,21896,233,84,22213,24298.830310156853,22213
60,2020-03-22,24513,266,94,24873,32895.175045017815,24873
61,2020-03-23,28667,266,123,29056,35945.6927942844,29056
62,2020-03-24,29586,3243,157,32986,39650.449506934216,32986
63,2020-03-25,33570,3547,206,37323,42703.94151190933,37323
64,2020-03-26,37998,5673,267,43938,42998.356336620425,43938
65,2020-03-27,43871,6658,342,50871,41950.35636939423,50871
66,2020-03-28,48781,8481,433,57695,46829.56980514149,57695
67,2020-03-29,52351,9211,533,62095,52921.76559208987,62095
68,2020-03-30,52740,13500,645,66885,57705.14250098005,66885
69,2020-03-31,54933,16100,775,71808,67664.38208649846,71808
70,2020-04-01,58252,18700,920,77872,67567.97116548468,77872
71,2020-04-02,61247,22440,1107,84794,70121.82431829396,84794
72,2020-04-03,65309,24575,1275,91159,65695.6395576435,91159
73,2020-04-04,68248,26400,1444,96092,67811.6806057238,96092
74,2020-04-05,69839,28700,1584,100123,69246.23020137835,100123
75,2020-04-06,72864,28700,1810,103374,74811.79014947647,103374
76,2020-04-07,69566,36081,2016,107663,77920.46891802995,107663
77,2020-04-08,64647,46300,2349,113296,80598.97814997286,113296
78,2020-04-09,63167,52407,2607,118181,78931.3121177097,118181
79,2020-04-10,65491,53913,2767,122171,73110.28634829722,122171
80,2020-04-11,64772,57400,2736,124908,63628.8045082428,124908
81,2020-04-12,64532,60300,3022,127854,60709.94042887458,127854
82,2020-04-13,62578,64300,3194,130072,58767.203612330224,130072
83,2020-04-14,59865,68200,3294,131359,60441.16037957848,131359
84,2020-04-15,58349,72600,3804,134753,60270.70626747057,134753
85,2020-04-16,56646,77000,4052,137698,58890.66772235346,137698
86,2020-04-17,53931,83114,4352,141397,56747.96851513342,141397
87,2020-04-18,53483,85400,4459,143342,54807.85854178524,143342
88,2020-04-19,52598,88000,4586,145184,50947.19355708095,145184
89,2020-04-20,50703,91500,4862,147065,49420.62626006213,147065
90,2020-04-21,48058,95200,5033,148291,48520.30061213292,148291
91,2020-04-22,45969,99400,5279,150648,47291.47660073505,150648
92,2020-04-23,44254,103300,5575,153129,45911.10405807111,153129
93,2020-04-24,39439,109800,5760,154999,43710.49737289744,154999
94,2020-04-25,40836,109800,5877,156513,42293.54460031823,156513
95,2020-04-26,39794,112000,5976,157770,37060.73489442573,157770
96,2020-04-27,38132,114500,6126,158758,35725.46464495094,158758
97,2020-04-28,36198,117400,6314,159912,35492.49353374705,159912
98,2020-04-29,34672,120400,6467,161539,34657.83839752275,161539
99,2020-04-30,32886,123500,6623,163009,33424.63611260941,163009
100,2020-05-01,30441,126900,6736,164077,34282.26244150988,164077
101,2020-05-02,29155,129000,6812,164967,30590.875642596853,164967
102,2020-05-03,28198,130600,6866,165664,28038.73615320781,165664
103,2020-05-04,26459,132700,6993,166152,26314.636636656956,166152
104,2020-05-05,24914,135100,6993,167007,25056.510980215186,167007
105,2020-05-06,20987,139900,7275,168162,23941.40782321095,168162
106,2020-05-07,20338,141700,7392,169430,22715.15779366518,169430
107,2020-05-08,21378,141700,7510,170588,19998.49128736336,170588
108,2020-05-09,20475,143300,7549,171324,17858.72696210203,171324
109,2020-05-10,19910,144400,7569,171879,17139.485676896682,171879
110,2020-05-11,19298,145617,7661,172576,17068.57643788843,172576
111,2020-05-12,18233,147200,7738,173171,17235.466650716495,173171
112,2020-05-13,17537,148700,7861,174098,19198.29285942395,174098
113,2020-05-14,16294,150300,7884,174478,18606.15645785279,174478
114,2020-05-15,15739,151597,7897,175233,16154.911667631422,175233
115,2020-05-16,15214,152600,7938,175752,15389.60446257756,175752
116,2020-05-17,14396,154011,7962,176369,14028.386975661284,176369
117,2020-05-18,13507,155041,8003,176551,13564.936763360423,176551
118,2020-05-19,14016,155681,8081,177778,12846.77792865085,177778
119,2020-05-20,13363,156966,8144,178473,12255.30516082347,178473
120,2020-05-21,12731,158087,8203,179021,12313.003344926989,179021
121,2020-05-22,12418,159064,8228,179710,12536.079215997195,179710
122,2020-05-23,12009,159716,8261,179986,12119.05288924694,179986
123,2020-05-24,11764,160281,8283,180328,11667.50750421724,180328
124,2020-05-25,11092,161199,8309,180600,11740.746718711964,180600
125,2020-05-26,10861,161967,8372,181200,10591.543723846906,181200
126,2020-05-27,10276,162820,8428,181524,10647.398586055257,181524
127,2020-05-28,10366,163360,8470,182196,10221.587543289406,182196
128,2020-05-29,10173,164245,8504,182922,9895.873793141807,182922
129,2020-05-30,9751,164908,8530,183189,9570.741361961878,183189
130,2020-05-31,9518,165352,8540,183410,9375.821527045677,183410
131,2020-06-01,9407,165632,8555,183594,9480.09834728314,183594
132,2020-06-02,8707,166609,8563,183879,8802.468632888487,183879
133,2020-06-03,8066,167453,8602,184121,8932.217449607673,184121
134,2020-06-04,7928,167909,8635,184472,8401.281827309847,184472
135,2020-06-05,7786,168480,8658,184924,7687.454057594978,184924
136,2020-06-06,7819,168958,8673,185450,7368.558942080744,185450
137,2020-06-07,7841,169224,8685,185750,7077.082849258771,185750
138,2020-06-08,7858,169556,8695,186109,6628.019972192809,186109
139,2020-06-09,7641,170129,8736,186506,7056.710981465526,186506
140,2020-06-10,7140,170630,8752,186522,7519.572646269623,186522
141,2020-06-11,6958,170961,8772,186691,7390.919436448178,186691
142,2020-06-12,6908,171535,8783,187226,7258.536595494351,187226
143,2020-06-13,6504,171970,8793,187267,6796.49630823129,187267
144,2020-06-14,6628,172089,8801,187518,6704.658290608119,187518
145,2020-06-15,6183,172692,8807,187682,5938.058093007469,187682
146,2020-06-16,6590,172842,8820,188252,6093.331375741813,188252
147,2020-06-17,6154,173599,8851,188604,6106.024431053797,188604
148,2020-06-18,7095,173847,8875,189817,6048.085032979787,189817
149,2020-06-19,7440,173972,8887,190299,5907.657111713828,190299
150,2020-06-20,7166,174609,8895,190670,6859.19211027282,190670
151,2020-06-21,7637,174740,8895,191272,7106.43411551178,191272
152,2020-06-22,7726,175143,8899,191768,8043.797568341184,191768
153,2020-06-23,7741,175825,8914,192480,8004.88495081996,192480
154,2020-06-24,7521,176422,8928,192871,8724.930595619018,192871
155,2020-06-25,7667,176764,8940,193371,8122.282959880247,193371
156,2020-06-26,7922,177149,8965,194036,7842.225852875839,194036
157,2020-06-27,7972,177518,8968,194458,8101.094984318675,194458
158,2020-06-28,8068,177657,8968,194693,8048.761681788475,194693
159,2020-06-29,8296,177770,8976,195042,8142.012873510356,195042
160,2020-06-30,8328,178100,8990,195418,8157.309972667016,195418
161,2020-07-01,7798,179100,8995,195893,8615.003392200819,195893
162,2020-07-02,7564,179800,9006,196370,7798.0,196370
163,2020-07-03,7470,180300,9010,196780,7363.706464160988,196780
164,2020-07-04,7178,181000,9020,197198,6953.59687453719,197198
165,2020-07-05,6781,181719,9023,197523,6566.324870521031,197523
166,2020-07-06,6882,182160,9022,198064,6200.619008849244,198064
167,2020-07-07,6650,182661,9032,198343,5855.278598862667,198343
168,2020-07-08,6500,183153,9046,198699,5529.169768856761,198699
169,2020-07-09,6216,183728,9057,199001,5221.221750747063,199001
170,2020-07-10,6241,184028,9063,199332,4930.423370975006,199332
171,2020-07-11,6373,184266,9070,199709,4655.81973624281,199709
172,2020-07-12,6434,184414,9071,199919,4396.509103293505,199919
173,2020-07-13,6006,185100,9074,200180,4151.639922545436,200180
174,2020-07-14,6278,185100,9078,200456,3920.408045951652,200456
175,2020-07-15,5810,186000,9080,200890,3702.054089985085,200890
176,2020-07-16,5963,186400,9087,201450,3495.860945152016,201450
177,2020-07-17,6057,186900,9088,202045,3301.151423910557,202045
178,2020-07-18,6135,187200,9091,202426,3117.2860393191713,202426
179,2020-07-19,6243,187400,9092,202735,2943.660907164065,202735
180,2020-07-20,6161,188070,9094,203325,2779.705764714845,203325
181,2020-07-21,6397,188221,9099,203717,2624.882099636496,203717
182,2020-07-22,6546,188628,9102,204276,2478.6813829435714,204276
183,2020-07-23,6631,189140,9110,204881,2340.6234002207093,204881
184,2020-07-24,6807,189696,9120,205623,2210.2546756532197,205623
185,2020-07-25,7235,189919,9124,206278,2087.1469837135332,206278
186,2020-07-26,7488,190055,9124,206667,1970.8959436347309,206667
187,2020-07-27,7673,190314,9125,207112,1861.1196920720893,207112
188,2020-07-28,7865,190711,9131,207707,1757.4576296084163,207707
189,2020-07-29,8132,191279,9135,208546,1659.569236999754,208546
190,2020-07-30,8840,191551,9144,209535,1567.1329572855348,209535
191,2020-07-31,9260,191992,9147,210399,1479.8451401022273,210399
192,2020-08-01,9215,192636,9154,211005,1397.4190447425922,211005
193,2020-08-02,9158,192908,9154,211220,1319.5838986945269,211220
194,2020-08-03,9363,193594,9154,212111,1246.0840085747334,212111
195,2020-08-04,9492,194173,9163,212828,1176.6779205436703,212828
196,2020-08-05,10366,194568,9179,214113,1111.1376274500108,214113
197,2020-08-06,10577,195281,9181,215039,1049.247820105629,215039
198,2020-08-07,11066,195935,9195,216196,990.8051802364848,216196
199,2020-08-08,11152,196550,9201,216903,935.6177127911214,216903
200,2020-08-09,11303,196783,9202,217288,883.50411541729,217288
201,2020-08-10,11923,197382,9203,218508,834.2931830388706,218508
202,2020-08-11,11985,198347,9208,219540,787.8232455801719,219540
203,2020-08-12,12655,198991,9213,220859,743.9416369932363,220859
204,2020-08-13,13410,199654,9217,222281,702.5041938462931,222281
205,2020-08-14,14121,200440,9230,223791,663.3747818283429,223791
206,2020-08-15,14497,200756,9235,224488,626.4248486163102,224488
207,2020-08-16,14585,201187,9235,225007,591.5330016375915,225007
208,2020-08-17,15215,202249,9236,226700,558.5846093424084,226700
209,2020-08-18,15202,203677,9241,228120,527.471424677441,228120
210,2020-08-19,16003,204454,9249,229706,498.0912295249905,229706
211,2020-08-20,16670,205359,9263,231292,470.34749894066124,231292
